"shapeid","ZCTA5CE10","GEOID10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"51","77020","77020","17881915.0","318808.0","+29.7731791","-095.3143273","25464","2501","2154","1964","2046","1864","1994","1739","1585","1540","1638","1546","1366","1096","742","565","477","357","290","12815","1269","1102","979","1004","970","1009","905","860","794","821","814","702","567","369","253","197","124","76","12649","1232","1052","985","1042","894","985","834","725","746","817","732","664","529","373","312","280","233","214","30.5","30.4","30.7","18466","9280","9186","17611","8873","8738","16429","8273","8156","3067","1338","1729","2431","1019","1412","25464","24745","12121","6461","261","125","20","19","34","3","4","20","25","14","12","2","0","0","5763","719","31","6","44","457","12685","6624","365","166","26","6345","25464","18026","16039","45","17","1925","7438","25464","18026","11174","233","211","22","6","5735","645","7438","947","6228","50","103","8","28","74","25464","25348","7899","3081","9162","5992","3828","1745","287","1378","108","70","538","116","0","0","0","116","68","48","7899","5686","2760","3081","1579","667","239","1938","942","2213","1792","980","223","812","369","3505","1939","3.21","3.83","9384","7899","1485","670","17","107","30","17","644","2.7","14.2","7899","3865","4034","13009","12339","3.37","3.06","0.23275128676","0.00169788713"
"52","77021","77021","15742462.0","65118.0","+29.6984302","-095.3568996","26042","1967","1839","1688","1930","2225","2007","1677","1565","1476","1675","1663","1385","1173","1018","912","747","586","509","12056","947","907","842","975","1038","965","785","737","709","799","771","637","536","430","339","305","194","140","13986","1020","932","846","955","1187","1042","892","828","767","876","892","748","637","588","573","442","392","369","34.0","32.2","35.8","20169","9164","11005","19382","8769","10613","18226","8190","10036","4449","1728","2721","3772","1408","2364","26042","25546","3421","19624","88","366","104","100","24","8","19","65","46","12","2","7","1","2","2035","496","11","43","103","86","3689","19935","197","443","37","2265","26042","4129","3378","59","17","675","21913","26042","4129","1679","152","45","9","2","2003","239","21913","1742","19472","43","357","10","32","257","26042","25772","10003","2648","7863","4998","3594","1530","275","1664","113","85","603","270","177","53","124","93","41","52","10003","6130","2508","2648","1001","633","196","2849","1311","3873","3128","1405","346","1723","695","3252","2877","2.58","3.3","11810","10003","1807","1122","45","134","90","28","388","2.8","16.9","10003","4522","5481","11820","13952","2.61","2.55","0.19720862825","0.00147354479"
"53","77022","77022","15125545.0","1147.0","+29.8315897","-095.3795535","29557","2642","2447","2113","2338","2328","2341","1989","1871","1898","1960","1948","1447","1215","920","720","625","434","321","14948","1283","1258","1032","1180","1284","1266","1081","995","964","1072","1029","708","583","396","312","253","149","103","14609","1359","1189","1081","1158","1044","1075","908","876","934","888","919","739","632","524","408","372","285","218","31.3","30.7","32.1","21919","11165","10754","20957","10675","10282","19489","9900","9589","3714","1530","2184","3020","1213","1807","29557","28549","14057","6001","218","96","21","25","8","0","0","35","7","14","5","0","4","5","8163","1008","55","18","48","692","14889","6124","353","152","42","9028","29557","21494","18010","68","42","3374","8063","29557","21494","12041","181","183","7","12","8136","934","8063","2016","5820","35","89","2","27","74","29557","29354","9449","3690","10055","6651","4326","1810","324","1834","127","67","660","203","0","0","0","203","136","67","9449","6372","3180","3690","1985","762","288","1920","907","3077","2578","1328","371","1250","688","3921","2483","3.11","3.84","10692","9449","1243","590","30","79","22","13","509","1.8","10.0","9449","4171","5278","14045","15309","3.37","2.9","0.18904029397","0.0014119168"
"54","77023","77023","14112378.0","235044.0","+29.7218250","-095.3182748","28998","2586","2327","2091","2116","2459","2562","2334","2091","1819","1835","1794","1573","1179","771","526","389","298","248","14964","1271","1200","1065","1101","1348","1372","1280","1165","962","940","937","787","606","364","215","167","107","77","14034","1315","1127","1026","1015","1111","1190","1054","926","857","895","857","786","573","407","311","222","191","171","30.7","30.4","31.0","21606","11226","10380","20744","10790","9954","19398","10062","9336","2900","1260","1640","2232","930","1302","28998","27847","17875","696","274","302","58","69","17","5","3","104","46","17","14","3","0","0","8683","1151","45","36","36","844","18879","815","415","395","28","9672","28998","25402","21320","51","40","3991","3596","28998","25402","15309","153","229","14","14","8651","1032","3596","2566","543","45","288","3","32","119","28998","28896","9129","4079","9887","6531","3912","1598","372","1889","98","56","710","102","14","14","0","88","4","84","9129","6392","3201","4079","2112","789","306","1524","783","2737","2058","1186","179","872","300","3890","1703","3.17","3.8","10646","9129","1517","941","40","59","33","44","400","1.3","16.2","9129","4311","4818","14245","14651","3.3","3.04","0.20109340443","0.00133775516"
"55","77024","77024","32905019.0","105158.0","+29.7712246","-095.5117513","34775","1468","2472","2827","2447","1108","1381","1283","1895","2408","3022","3071","2727","2333","1668","1276","1132","1112","1145","16491","762","1245","1460","1255","531","675","597","847","1087","1368","1484","1356","1142","802","561","493","444","382","18284","706","1227","1367","1192","577","706","686","1048","1321","1654","1587","1371","1191","866","715","639","668","763","45.2","44.0","46.0","27401","12745","14656","26234","12132","14102","25390","11676","13714","7718","3380","4338","6333","2682","3651","34775","34100","28570","552","76","4106","680","1203","122","143","1213","300","445","20","9","1","0","10","776","675","83","338","43","109","29169","628","183","4517","40","945","34775","3123","1753","66","122","1182","31652","34775","3123","2207","18","22","19","3","704","150","31652","26363","534","54","4087","17","72","525","34775","34538","14410","8117","10312","8302","914","202","308","785","34","82","346","237","155","35","120","82","80","2","14410","9520","4455","8117","3658","351","176","1052","621","4890","4408","1625","427","2783","1507","4592","4555","2.4","3.03","15927","14410","1517","853","32","203","94","198","137","1.9","17.2","14410","10344","4066","26989","7549","2.61","1.86","0.48864955506","0.0030793443"
"55.ring1","77024","77024","32905019.0","105158.0","+29.7712246","-095.5117513","34775","1468","2472","2827","2447","1108","1381","1283","1895","2408","3022","3071","2727","2333","1668","1276","1132","1112","1145","16491","762","1245","1460","1255","531","675","597","847","1087","1368","1484","1356","1142","802","561","493","444","382","18284","706","1227","1367","1192","577","706","686","1048","1321","1654","1587","1371","1191","866","715","639","668","763","45.2","44.0","46.0","27401","12745","14656","26234","12132","14102","25390","11676","13714","7718","3380","4338","6333","2682","3651","34775","34100","28570","552","76","4106","680","1203","122","143","1213","300","445","20","9","1","0","10","776","675","83","338","43","109","29169","628","183","4517","40","945","34775","3123","1753","66","122","1182","31652","34775","3123","2207","18","22","19","3","704","150","31652","26363","534","54","4087","17","72","525","34775","34538","14410","8117","10312","8302","914","202","308","785","34","82","346","237","155","35","120","82","80","2","14410","9520","4455","8117","3658","351","176","1052","621","4890","4408","1625","427","2783","1507","4592","4555","2.4","3.03","15927","14410","1517","853","32","203","94","198","137","1.9","17.2","14410","10344","4066","26989","7549","2.61","1.86","0.48864955506","0.0030793443"
"55.ring2","77024","77024","32905019.0","105158.0","+29.7712246","-095.5117513","34775","1468","2472","2827","2447","1108","1381","1283","1895","2408","3022","3071","2727","2333","1668","1276","1132","1112","1145","16491","762","1245","1460","1255","531","675","597","847","1087","1368","1484","1356","1142","802","561","493","444","382","18284","706","1227","1367","1192","577","706","686","1048","1321","1654","1587","1371","1191","866","715","639","668","763","45.2","44.0","46.0","27401","12745","14656","26234","12132","14102","25390","11676","13714","7718","3380","4338","6333","2682","3651","34775","34100","28570","552","76","4106","680","1203","122","143","1213","300","445","20","9","1","0","10","776","675","83","338","43","109","29169","628","183","4517","40","945","34775","3123","1753","66","122","1182","31652","34775","3123","2207","18","22","19","3","704","150","31652","26363","534","54","4087","17","72","525","34775","34538","14410","8117","10312","8302","914","202","308","785","34","82","346","237","155","35","120","82","80","2","14410","9520","4455","8117","3658","351","176","1052","621","4890","4408","1625","427","2783","1507","4592","4555","2.4","3.03","15927","14410","1517","853","32","203","94","198","137","1.9","17.2","14410","10344","4066","26989","7549","2.61","1.86","0.48864955506","0.0030793443"
"55.ring3","77024","77024","32905019.0","105158.0","+29.7712246","-095.5117513","34775","1468","2472","2827","2447","1108","1381","1283","1895","2408","3022","3071","2727","2333","1668","1276","1132","1112","1145","16491","762","1245","1460","1255","531","675","597","847","1087","1368","1484","1356","1142","802","561","493","444","382","18284","706","1227","1367","1192","577","706","686","1048","1321","1654","1587","1371","1191","866","715","639","668","763","45.2","44.0","46.0","27401","12745","14656","26234","12132","14102","25390","11676","13714","7718","3380","4338","6333","2682","3651","34775","34100","28570","552","76","4106","680","1203","122","143","1213","300","445","20","9","1","0","10","776","675","83","338","43","109","29169","628","183","4517","40","945","34775","3123","1753","66","122","1182","31652","34775","3123","2207","18","22","19","3","704","150","31652","26363","534","54","4087","17","72","525","34775","34538","14410","8117","10312","8302","914","202","308","785","34","82","346","237","155","35","120","82","80","2","14410","9520","4455","8117","3658","351","176","1052","621","4890","4408","1625","427","2783","1507","4592","4555","2.4","3.03","15927","14410","1517","853","32","203","94","198","137","1.9","17.2","14410","10344","4066","26989","7549","2.61","1.86","0.48864955506","0.0030793443"
"56.0","77025","77025","11137251.0","91474.0","+29.6857064","-095.4347635","26137","1807","1530","1270","1155","1892","2849","2501","2027","1734","1691","1773","1585","1321","820","563","476","464","679","12534","943","785","653","622","859","1341","1203","968","871","838","846","769","639","389","259","192","153","204","13603","864","745","617","533","1033","1508","1298","1059","863","853","927","816","682","431","304","284","311","475","35.2","34.4","35.9","21291","10005","11286","20774","9738","11036","20143","9415","10728","3761","1549","2212","3002","1197","1805","26137","25297","16499","3123","93","3951","1096","1503","489","93","219","222","329","21","0","8","1","12","1610","840","63","296","84","151","17149","3337","247","4366","50","1895","26137","5143","3095","150","112","1786","20994","26137","5143","3142","72","43","25","2","1553","306","20994","13357","3051","50","3926","19","57","534","26137","25895","12096","4727","6199","5026","1265","285","234","1608","47","65","601","242","191","58","133","51","14","37","12096","6260","2949","4727","2201","411","154","1122","594","5836","4796","2079","287","2717","734","3107","2196","2.14","2.95","13662","12096","1566","1036","30","158","22","170","150","2.9","13.3","12096","5351","6745","12977","12918","2.43","1.92","0.20062626401","0.0010466083"
"56.1","77025","77025","11137251.0","91474.0","+29.6857064","-095.4347635","26137","1807","1530","1270","1155","1892","2849","2501","2027","1734","1691","1773","1585","1321","820","563","476","464","679","12534","943","785","653","622","859","1341","1203","968","871","838","846","769","639","389","259","192","153","204","13603","864","745","617","533","1033","1508","1298","1059","863","853","927","816","682","431","304","284","311","475","35.2","34.4","35.9","21291","10005","11286","20774","9738","11036","20143","9415","10728","3761","1549","2212","3002","1197","1805","26137","25297","16499","3123","93","3951","1096","1503","489","93","219","222","329","21","0","8","1","12","1610","840","63","296","84","151","17149","3337","247","4366","50","1895","26137","5143","3095","150","112","1786","20994","26137","5143","3142","72","43","25","2","1553","306","20994","13357","3051","50","3926","19","57","534","26137","25895","12096","4727","6199","5026","1265","285","234","1608","47","65","601","242","191","58","133","51","14","37","12096","6260","2949","4727","2201","411","154","1122","594","5836","4796","2079","287","2717","734","3107","2196","2.14","2.95","13662","12096","1566","1036","30","158","22","170","150","2.9","13.3","12096","5351","6745","12977","12918","2.43","1.92","0.20062626401","0.0010466083"
"57","77026","77026","16782149.0","8811.0","+29.8001873","-095.3288878","23940","2008","1824","1694","1800","1665","1561","1510","1384","1509","1743","1777","1503","1050","785","643","625","454","405","11863","1006","904","843","902","880","813","799","719","722","911","949","764","511","363","270","226","165","116","12077","1002","920","851","898","785","748","711","665","787","832","828","739","539","422","373","399","289","289","34.7","33.6","36.1","18044","8929","9115","17299","8553","8746","16267","8037","8230","3470","1411","2059","2912","1140","1772","23940","23309","4927","13873","124","74","9","5","8","0","3","9","40","7","1","0","5","1","4304","631","20","6","64","338","5375","14060","232","115","35","4788","23940","9633","8161","36","11","1425","14307","23940","9633","4593","184","74","7","0","4279","496","14307","334","13689","50","67","7","25","135","23940","23846","8364","2399","7937","4964","3691","1563","266","1455","106","98","609","94","0","0","0","94","20","74","8364","5430","2297","2399","1178","718","225","2313","894","2934","2435","1295","345","1140","572","3011","2428","2.85","3.58","10111","8364","1747","646","38","128","16","22","897","3.5","11.6","8364","3494","4870","10342","13504","2.96","2.77","0.25635329281","0.0015667892"
